Id,What is your age?,What is your gender?,What best describes your relationship status?,"On a scale of 1-15, 1 being not religious at all, and 15 being very religious, please identify how religious you are:",What is your highest level of education?,What is your gross annual household income?,What country/culture do you most identify with? (ex. Canada/Canadian),"On a scale of 1-15, 1 being not at all and 15 being completely, how important is having children to you?",10) What is your ideal number of children?,How many biological children do you have?,How many biological siblings do you have?,"On a scale of 1-15 (1 being no influence, 15 being very influential) how much influence do you have over family planning decisions?",Rank the factors that most influence your decision to have biological children and rank them from 1- 8 (1 being most influential and 8 being least influential):,Standardized_Religion
69,19-24,Female,In a relationship,4,Bachelor,"$50,000 � $74,999",English/Uk,1,Zero,Zero,Four,4,Income;Employment Status;Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Time/Help Availability;Religion;,Christian
100,35-39,Female,Married,1,Bachelor,"$50,000 � $74,999",Chinese,1,Two,Zero,One,1,Personal Choice;Personal Health;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Religion;Significant Other�s Opinion;,
247,0-18,Female,Single,12,No High School Diploma,"$250,000 � $299,999",India/Hindu,1,Zero,Zero,One,12,Personal Choice;Personal Health;Income;Relationship Status (or lack thereof);Time/Help Availability;Religion;Employment Status;Significant Other�s Opinion,Hindu
4,0-18,Female,Single,2,No High School Diploma,"Under $50,000",Canadian,1,Zero,Zero,One,14,Personal Health;Personal Choice;Income;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Religion;Significant Other�s Opinion;,Christian
147,0-18,Male,Single,1,High School Diploma,"$50,000 � $74,999",Canadian ,1,Zero,Zero,One,2,Significant Other�s Opinion;Income;Personal Health;Relationship Status (or lack thereof);Time/Help Availability;Personal Choice;Employment Status;Religion,Atheist
275,0-18,Female,Single,2,No High School Diploma,"$50,000 � $74,999",Korea/Korean,1,Zero,Zero,One,3,Personal Choice;Time/Help Availability;Income;Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Employment Status;Religion,
18,25-29,Female,Common-law,1,Bachelor,"$150,000 � $199,999",canada,1,Zero,Zero,One,5,Personal Choice;Significant Other�s Opinion;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Religion;,Agnostic
45,0-18,Male,In a relationship,9,High School Diploma,"Under $50,000",Filipino/Canadian,1,One,Zero,One,5,Personal Health;Employment Status;Time/Help Availability;Personal Choice;Income;Religion;Relationship Status (or lack thereof);Significant Other�s Opinion;,Catholic
132,25-29,Female,Single,1,High School Diploma,"$50,000 � $74,999",Canada/Canadian,1,Zero,Zero,One,5,Personal Choice;Personal Health;Income;Significant Other�s Opinion;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Religion,Atheist
9,0-18,Female,Single,2,No High School Diploma,"Under $50,000",Korean/Canadian,1,Zero,Zero,One,6,Personal Choice;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Religion;Income;Significant Other�s Opinion;,Catholic
6,0-18,Female,Single,3,High School Diploma,"$100,000 � $149,999",,1,Zero,Zero,One,9,Income;Personal Choice;Personal Health;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion;,
70,50-54,Female,Single,5,High School Diploma,"$75,000 � $99,999",Canada,1,Two,Zero,Three,1,Relationship Status (or lack thereof);Personal Choice;Income;Employment Status;Religion;Time/Help Availability;Personal Health;Significant Other�s Opinion;,Sikh
54,25-29,Female,In a relationship,1,Bachelor,"$50,000 � $74,999",Canadian,1,Zero,Zero,Three,15,Personal Choice;Income;Time/Help Availability;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Religion;,Christian
90,19-24,Non binary,In a relationship,4,High School Diploma,"Under $50,000",Canada/ indigenous ,1,Zero,Zero,Three,15,Personal Choice;Employment Status;Time/Help Availability;Personal Health;Income;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion;,Other (specify: Indigenous)
113,19-24,Transition sex,Divorced,15,High School Diploma,"$75,000 � $99,999",Israel,1,Six,Zero,Three,15,Religion;Income;Relationship Status (or lack thereof);Employment Status;Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,Muslim/Islam
112,0-18,Male,Single,1,No High School Diploma,,Canada/Canadian,1,One,Zero,Two,1,Income;Religion;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Personal Health;Personal Choice;Significant Other�s Opinion,
138,50-54,Male,Common-law,2,High School Diploma,"$150,000 � $199,999",canada,1,Zero,Zero,Two,5,Personal Choice;Significant Other�s Opinion;Time/Help Availability;Personal Health;Income;Relationship Status (or lack thereof);Employment Status;Religion,Agnostic
232,35-39,Male,Married,10,Bachelor,"$50,000 � $74,999",American,1,Zero,Zero,Two,7,Personal Choice;Significant Other�s Opinion;Time/Help Availability;Personal Health;Employment Status;Religion;Income;Relationship Status (or lack thereof),Catholic
204,35-39,Female,Married,1,High School Diploma,"$150,000 � $199,999",Canada,1,Zero,Zero,Two,8,Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Choice;Personal Health;Time/Help Availability;Income;Employment Status;Religion,Agnostic
36,19-24,Male,Single,1,High School Diploma,"Under $50,000",Ukraine/Ukrainian ,1,Zero,Zero,Zero,8,Income;Significant Other�s Opinion;Employment Status;Relationship Status (or lack thereof);Personal Choice;Personal Health;Time/Help Availability;Religion;,Atheist
304,25-29,Female,Single,1,Bachelor,"Under $50,000",Korean,1,Two,Zero,One,10,Personal Choice;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Income;Employment Status;Religion;Significant Other�s Opinion,Agnostic
321,35-39,Female,Single,1,Bachelor,"$75,000 � $99,999",Canadian ,1,Zero,Zero,Five,6,Personal Choice;Religion;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion,
260,70+,Male,Married,10,Trades: Journeyman,"Under $50,000",Canada,10,Four,Three,Four,7,Personal Choice;Income;Religion;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Significant Other�s Opinion;Personal Health,Christian
187,45-49,Male,Common-law,1,Trades: Red Seal,"$150,000 � $199,999",Canadian,10,Two,Zero,One,10,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Time/Help Availability;Employment Status;Income;Personal Health;Religion,Agnostic
34,25-29,Female,In a relationship,2,Master,"$75,000 � $99,999",Canadian,10,Two,Zero,One,12,Personal Choice;Significant Other�s Opinion;Income;Relationship Status (or lack thereof);Employment Status;Personal Health;Time/Help Availability;Religion;,Christian
173,30-34,Female,In a relationship,5,Bachelor,"$150,000 � $199,999",Canadian,10,Two,Zero,One,13,Personal Choice;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion;Income;Time/Help Availability;Employment Status;Religion,
195,30-34,Female,Common-law,2,Bachelor,"$50,000 � $74,999",Uk,10,Two,Zero,One,13,Personal Choice;Income;Employment Status;Personal Health;Relationship Status (or lack thereof);Time/Help Availability;Significant Other�s Opinion;Religion,Spiritual
60,55-59,Female,Single,15,High School Diploma,"$150,000 � $199,999",Canada Canadian ,10,Two,Two,One,15,Personal Choice;Personal Health;Relationship Status (or lack thereof);Significant Other�s Opinion;Time/Help Availability;Income;Employment Status;Religion;,Christian
1,0-18,Male,Single,10,No High School Diploma,,Latin,10,Two,Zero,One,2,Personal Health;Employment Status;Income;Religion;Time/Help Availability;Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;,Catholic
48,0-18,Male,In a relationship,1,No High School Diploma,"$150,000 � $199,999",Canadian ,10,One,Zero,One,3,Personal Choice;Religion;Income;Personal Health;Relationship Status (or lack thereof);Employment Status;Significant Other�s Opinion;Time/Help Availability;,
91,0-18,Female,Single,8,No High School Diploma,"$50,000 � $74,999",canadian,10,Two,Zero,One,5,Income;Religion;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;,Catholic
129,0-18,Female,Single,1,High School Diploma,"$75,000 � $99,999",Canadian,10,Two,Zero,One,6,Personal Choice;Employment Status;Income;Personal Health;Time/Help Availability;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion,Atheist
136,0-18,Male,Single,7,No High School Diploma,"$100,000 � $149,999",Vietnamese,10,Two,Zero,One,7,Income;Relationship Status (or lack thereof);Employment Status;Personal Health;Personal Choice;Religion;Time/Help Availability;Significant Other�s Opinion,Christian
158,35-39,Male,Married,2,Master,"$150,000 � $199,999",SriLanka,10,Two,One,One,7,Significant Other�s Opinion;Personal Choice;Income;Relationship Status (or lack thereof);Time/Help Availability;Employment Status;Personal Health;Religion,Buddhist
273,0-18,Male,Single,10,No High School Diploma,"Under $50,000",Indian,10,Two,Zero,Three,10,Employment Status;Personal Choice;Relationship Status (or lack thereof);Religion;Income;Personal Health;Time/Help Availability;Significant Other�s Opinion,Catholic
118,65-69,Female,Single,3,High School Diploma,"Under $50,000",Canada/Canadian,10,One,Zero,Three,15,Personal Choice;Relationship Status (or lack thereof);Personal Health;Income;Employment Status;Time/Help Availability;Religion;Significant Other�s Opinion,Christian
211,35-39,Male,Married,1,Master,"$75,000 � $99,999",Canadian,10,Two,One,Three,7,Personal Choice;Income;Relationship Status (or lack thereof);Time/Help Availability;Significant Other�s Opinion;Employment Status;Personal Health;Religion,None
192,25-29,Female,Divorced,11,Trades: Red Seal,"$250,000 � $299,999",Chinese ,10,Four,Three,Three,9,Income;Religion;Time/Help Availability;Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Choice;Employment Status,
67,30-34,Male,In a relationship,2,Trades: Red Seal,"$75,000 � $99,999",Canadian,10,Two,Zero,Two,12,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Time/Help Availability;Income;Employment Status;Religion;,Atheist
175,45-49,Male,In a relationship,1,High School Diploma,"Under $50,000",Canada,10,Four,Three,Two,12,Personal Choice;Employment Status;Significant Other�s Opinion;Income;Relationship Status (or lack thereof);Personal Health;Time/Help Availability;Religion,
142,30-34,Female,In a relationship,9,Master,"$50,000 � $74,999",Canada/Canadian,10,One,Zero,Two,15,Significant Other�s Opinion;Personal Health;Personal Choice;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Religion,Christian
196,50-54,Female,Single,2,Bachelor,"$75,000 � $99,999",Canada,10,Two,Two,Two,15,Personal Choice;Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Employment Status;Income;Time/Help Availability;Religion,Catholic
108,0-18,Male,In a relationship,1,High School Diploma,"$200,000 � $249,999",Canadian/dutch,10,Two,Zero,Two,3,Income;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Personal Choice;Religion,
240,0-18,Female,Single,8,No High School Diploma,,Korean,10,Two,Zero,Two,8,Relationship Status (or lack thereof);Income;Personal Health;Employment Status;Time/Help Availability;Personal Choice;Religion;Significant Other�s Opinion,Christian
162,19-24,Male,Single,15,High School Diploma,"Under $50,000",India,10,Two,Zero,Zero,15,Religion;Relationship Status (or lack thereof);Income;Personal Health;Personal Choice;Time/Help Availability;Employment Status;Significant Other�s Opinion,Hindu
226,40-44,Female,Married,5,Master,"$200,000 � $249,999",chinese ,10,Two,Three,Zero,15,Time/Help Availability;Relationship Status (or lack thereof);Personal Choice;Personal Health;Employment Status;Income;Religion;Significant Other�s Opinion,Christian
283,40-44,Female,Married,12,Bachelor,"$100,000 � $149,999",,10,Seven or more,Four,Two,10,Income;Religion;Personal Health;Time/Help Availability;Significant Other�s Opinion;Personal Choice;Employment Status;Relationship Status (or lack thereof),Christian
291,50-54,Female,Married,1,High School Diploma,,Canada,10,Two,Two,Three,15,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Time/Help Availability;Employment Status;Income;Religion,
299,30-34,Male,In a relationship,7,Bachelor,"$75,000 � $99,999",Canada,10,Three,Zero,One,8,Personal Health;Personal Choice;Income;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion,Spiritual
318,55-59,Male,Married,7,High School Diploma,"$150,000 � $199,999",Canadian,10,Four,Four,Four,10,Relationship Status (or lack thereof);Personal Choice;Personal Health;Significant Other�s Opinion;Religion;Income;Time/Help Availability;Employment Status,Sikh
319,45-49,Male,Married,10,Bachelor,"$50,000 � $74,999",Korea,10,One,Two,Two,8,Income;Relationship Status (or lack thereof);Employment Status;Personal Choice;Significant Other�s Opinion;Time/Help Availability;Personal Health;Religion,Catholic
324,50-54,Female,Married,5,Bachelor,"$75,000 � $99,999","South Korea, Korean",10,Two,One,Three,1,Personal Choice;Relationship Status (or lack thereof);Income;Employment Status;Personal Health;Time/Help Availability;Religion;Significant Other�s Opinion,Christian
119,25-29,Male,Single,3,No High School Diploma,"$50,000 � $74,999",Canadian,11,Two,Zero,Four,12,Significant Other�s Opinion;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Choice;Personal Health;Religion,Agnostic
256,19-24,Female,Married,11,Bachelor,"$100,000 � $149,999",Canadian American ,11,Three,Zero,One,14,Personal Choice;Significant Other�s Opinion;Religion;Personal Health;Relationship Status (or lack thereof);Time/Help Availability;Income;Employment Status,Christian
72,0-18,Male,Single,13,No High School Diploma,"Under $50,000",Korea/Korean,11,Two,Zero,Three,6,Religion;Personal Choice;Relationship Status (or lack thereof);Significant Other�s Opinion;Income;Personal Health;Time/Help Availability;Employment Status;,Christian
116,0-18,Female,Single,3,No High School Diploma,"Under $50,000",Chinese Canadian,11,Two,Zero,Two,10,Income;Personal Choice;Significant Other�s Opinion;Employment Status;Personal Health;Relationship Status (or lack thereof);Time/Help Availability;Religion,Atheist
25,30-34,Male,Married,2,Trades: Journeyman,"$250,000 � $299,999",Canada,11,Three,One,Two,11,Income;Personal Choice;Personal Health;Time/Help Availability;Significant Other�s Opinion;Employment Status;Relationship Status (or lack thereof);Religion;,Catholic
194,0-18,Male,In a relationship,4,No High School Diploma,"$250,000 � $299,999",Ukrainian,11,Two,Zero,Two,7,Income;Significant Other�s Opinion;Time/Help Availability;Personal Choice;Personal Health;Employment Status;Religion;Relationship Status (or lack thereof),Atheist
282,35-39,Male,Married,9,Bachelor,"$75,000 � $99,999",Canada,11,Two,One,Three,12,Significant Other�s Opinion;Income;Personal Health;Religion;Time/Help Availability;Employment Status;Personal Choice;Relationship Status (or lack thereof),Catholic
35,25-29,Male,In a relationship,1,PhD,"$200,000 � $249,999",Canada,12,Two,Zero,One,10,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Income;Employment Status;Personal Health;Time/Help Availability;Religion;,Atheist
237,50-54,Male,Married,9,Bachelor,"Under $50,000",usa,12,Two,Two,One,12,Personal Choice;Income;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Religion;Significant Other�s Opinion;Employment Status,
3,0-18,Female,Single,7,No High School Diploma,,Hong Kong/ Chinese,12,Two,Zero,One,13,Personal Health;Relationship Status (or lack thereof);Personal Choice;Income;Employment Status;Significant Other�s Opinion;Time/Help Availability;Religion;,Christian
241,30-34,Female,Married,9,Master,"$150,000 � $199,999",Sri Lanka ,12,Two,One,One,14,Personal Choice;Income;Relationship Status (or lack thereof);Employment Status;Time/Help Availability;Personal Health;Religion;Significant Other�s Opinion,Buddhist
89,45-49,Female,Married,10,Bachelor,"$50,000 � $74,999",Canadian,12,One,One,One,15,Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;Personal Health;Employment Status;Income;Religion;Time/Help Availability;,Christian
170,35-39,Female,Single,10,Bachelor,"$75,000 � $99,999",Canadian,12,Three,Zero,One,15,Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;Income;Personal Health;Religion;Employment Status;Time/Help Availability,Christian
178,25-29,Male,Married,5,PhD,"$200,000 � $249,999",Albanian ,12,Three,Two,One,15,Personal Health;Employment Status;Income;Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion;Time/Help Availability,Christian
223,30-34,Female,Divorced,7,Bachelor,"$100,000 � $149,999",Canada,12,Two,Zero,One,15,Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;Personal Health;Time/Help Availability;Employment Status;Income;Religion,Sikh
120,0-18,Female,Single,4,No High School Diploma,,canada/vietnam culture,12,Three,Zero,One,4,Personal Choice;Time/Help Availability;Income;Personal Health;Employment Status;Religion;Relationship Status (or lack thereof);Significant Other�s Opinion,Atheist
251,0-18,Female,Single,1,No High School Diploma,"Under $50,000",Canada/ Canadian,12,Two,Zero,One,5,Income;Personal Choice;Personal Health;Time/Help Availability;Employment Status;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion,Atheist
